base_region,hemisphere,CTIP2,Satb2,PVALB,CALB
bankssts,L,0.4947531500188143,0.8227030964611385,0.6877922191775815,0.4766990603831718
bankssts,R,0.5054320419959025,0.7562365713093733,0.6890714586201656,0.4305227772008998
caudalanteriorcingulate,L,0.6822483061985357,0.690564506583006,0.36840599992707285,0.5508092735386856
caudalanteriorcingulate,R,0.7003806142978763,0.755556864172982,0.5246167674203606,0.4896717703279255
caudalmiddlefrontal,L,0.6537089704347847,0.8087487649926367,0.7705910432063737,0.42008404720350406
caudalmiddlefrontal,R,0.6433416457048782,0.758943740732649,0.7764241418753468,0.3922575717686939
cuneus,L,0.4469042256939942,0.8293318098482185,0.8029670408201414,0.39477139158997643
cuneus,R,0.48354911877531914,0.7640831268133792,0.7289116900700072,0.46976846845517384
entorhinal,L,0.5873928059658758,0.6060442577041568,0.20456981748220057,0.5230743061325787
entorhinal,R,0.6841264718320154,0.577222588746533,0.18643023995471297,0.36346887445274434
frontalpole,L,0.4470015715301553,0.7379911829310344,0.5660767995868325,0.3626870917018502
frontalpole,R,,,,
fusiform,L,0.46133550649412186,0.7676512600387554,0.4822053637295858,0.5324246127429505
fusiform,R,0.4892478058854597,0.7131491701729324,0.5339160972796078,0.4950336713596286
inferiorparietal,L,0.49617564906610284,0.8324786006269869,0.737337521074171,0.45330465870594167
inferiorparietal,R,0.5281427639074949,0.7667005795053711,0.737716364676545,0.5039013826065439
inferiortemporal,L,0.4868004835437869,0.7989807468051113,0.5507820646960745,0.5011506523740408
inferiortemporal,R,0.49362697878005074,0.7376219958371971,0.573326431424563,0.521366308348362
insula,L,0.6407317390719255,0.8166600696274281,0.4854165107206787,0.563916110541385
insula,R,0.5796070456340441,0.7374332125091836,0.5042427158860119,0.5572035536605947
isthmuscingulate,L,0.5334691117462268,0.8432367266759032,0.6695050879870929,0.36344038134815443
isthmuscingulate,R,0.5112339329763809,0.7484224719177417,0.475301800995548,0.3437418549289808
lateraloccipital,L,0.4610892776570179,0.8229617245545612,0.7611382671095214,0.4375275289865241
lateraloccipital,R,0.4771307617442368,0.7339733176070822,0.8165094204261993,0.4595305847472791
lateralorbitofrontal,L,0.5529246168799928,0.8061527117257562,0.5651794843183616,0.6138642946083126
lateralorbitofrontal,R,0.522314262885059,0.7408748212982497,0.49716232841645847,0.640496327673862
lingual,L,0.42992035619872254,0.8274593045947095,0.7617610576757233,0.37345439399246233
lingual,R,0.4643183348518975,0.757291777956462,0.777155821585418,0.40643039454705754
medialorbitofrontal,L,0.5251383147527285,0.8109863501749723,0.44746894171328483,0.6459036876775534
medialorbitofrontal,R,0.5461861347035809,0.7397070682078535,0.5223340466166521,0.6280268765473485
middletemporal,L,0.4898170862067035,0.8007542421957625,0.5757489891271893,0.5015091922515152
middletemporal,R,0.4990787292711366,0.7453819670071247,0.5335781584402353,0.5205577004175133
paracentral,L,0.6846225494040589,0.8100600144672999,0.7779353177138429,0.3035587773642404
paracentral,R,0.6698783882350078,0.7470767679809873,0.7353274055490324,0.33659651034704546
parahippocampal,L,0.5592931181927338,0.7369356825629554,0.33351210224623934,0.5084313370854213
parahippocampal,R,0.5350179506325914,0.6947306315397254,0.37403216962206,0.49357970314742866
parsopercularis,L,0.6536986277385247,0.859361760021138,0.68662610338353,0.49077216038129534
parsopercularis,R,0.6568777188429,0.7626274489983061,0.7661227950523806,0.5276541436647729
parsorbitalis,L,0.5339552226724802,0.8397492678293824,0.6778029132763633,0.4694674439747154
parsorbitalis,R,0.5515413609026779,0.7794939779754593,0.6576621153519728,0.5945083034741261
parstriangularis,L,0.6172553075683345,0.8445683336021604,0.7177416604706987,0.49602275581787686
parstriangularis,R,0.6020318843685372,0.7564821675752829,0.725928557729048,0.47500251191970155
pericalcarine,L,0.39338730750650913,0.8345845779514054,0.8767783825360298,0.3420649672542239
pericalcarine,R,0.42010640178863745,0.7310377764277068,0.7143278767744718,0.32830116215519023
postcentral,L,0.554359870594659,0.8150919744371907,0.8140965438833057,0.3499846948496547
postcentral,R,0.5498763031899288,0.7509176541976257,0.7925596134752046,0.3448743199966833
posteriorcingulate,L,0.6369952244202582,0.8253674303473192,0.5561677079026608,0.42439593663343644
posteriorcingulate,R,0.606160265429391,0.7396702714817831,0.5655174730653074,0.4515125580906789
precentral,L,0.6789643949606164,0.8029316360575552,0.7855815559854985,0.31368393252822974
precentral,R,0.693448547420094,0.7272153455461512,0.8029333041306723,0.256384940246864
precuneus,L,0.5074183662288537,0.8414333815672421,0.7021337653288761,0.4350856562635567
precuneus,R,0.5013785375829578,0.7825497591316668,0.6888709232428181,0.4148921612577032
rostralanteriorcingulate,L,0.6151348017210869,0.7799052702975908,0.3447642942745921,0.6172400966362784
rostralanteriorcingulate,R,0.708824773798961,0.7449370000710462,0.33880600005620326,0.5974107129127331
rostralmiddlefrontal,L,0.5322404272485561,0.838449771699365,0.6795482813913427,0.5148352910042837
rostralmiddlefrontal,R,0.5543897953309643,0.7518434326057147,0.7043979310655638,0.5650771726427843
superiorfrontal,L,0.63549126303679,0.815059307728844,0.6726440688446212,0.5107957080008374
superiorfrontal,R,0.6044481305662481,0.7368786809260639,0.6632286744386027,0.5645916816535954
superiorparietal,L,0.5164808180561962,0.8233812126120963,0.7679864917350367,0.4358261809503961
superiorparietal,R,0.5068918910221083,0.7644556800673779,0.7684965521949638,0.38470400799535615
superiortemporal,L,0.49819454429892357,0.7940190383611841,0.5665072180372693,0.500146741603261
superiortemporal,R,0.5164514669435761,0.7345838100626558,0.6443848274544628,0.43107854748699076
supramarginal,L,0.49833530613343796,0.8237665686880608,0.6872807755383303,0.4709852636091539
supramarginal,R,0.5151102385066177,0.7891901997724566,0.6759147831826087,0.48320021064978835
temporalpole,L,0.4637928132206477,0.7141735041701096,0.2772790417502832,0.6201594368200439
temporalpole,R,,,,
transversetemporal,L,0.5049530213247698,0.7983242686996808,0.763987488020128,0.4140331549146583
transversetemporal,R,0.4825361111851019,0.7179344319314033,0.7094619216645361,0.23854699722237985
