Base_Region,hemisphere,CTIP2,Satb2
bankssts,L,0.4947531500188143,0.8227030964611385
bankssts,R,0.5054320419959025,0.7562365713093733
caudalanteriorcingulate,L,0.6822483061985357,0.690564506583006
caudalanteriorcingulate,R,0.7003806142978763,0.755556864172982
caudalmiddlefrontal,L,0.6537089704347847,0.8087487649926367
caudalmiddlefrontal,R,0.6433416457048782,0.758943740732649
cuneus,L,0.4469042256939942,0.8293318098482185
cuneus,R,0.48354911877531914,0.7640831268133792
entorhinal,L,0.5873928059658758,0.6060442577041568
entorhinal,R,0.6841264718320154,0.577222588746533
frontalpole,L,0.4470015715301553,0.7379911829310344
frontalpole,R,,
fusiform,L,0.46133550649412186,0.7676512600387554
fusiform,R,0.4892478058854597,0.7131491701729324
inferiorparietal,L,0.49617564906610284,0.8324786006269869
inferiorparietal,R,0.5281427639074949,0.7667005795053711
inferiortemporal,L,0.4868004835437869,0.7989807468051113
inferiortemporal,R,0.49362697878005074,0.7376219958371971
insula,L,0.6407317390719255,0.8166600696274281
insula,R,0.5796070456340441,0.7374332125091836
isthmuscingulate,L,0.5334691117462268,0.8432367266759032
isthmuscingulate,R,0.5112339329763809,0.7484224719177417
lateraloccipital,L,0.4610892776570179,0.8229617245545612
lateraloccipital,R,0.4771307617442368,0.7339733176070822
lateralorbitofrontal,L,0.5529246168799928,0.8061527117257562
lateralorbitofrontal,R,0.522314262885059,0.7408748212982497
lingual,L,0.42992035619872254,0.8274593045947095
lingual,R,0.4643183348518975,0.757291777956462
medialorbitofrontal,L,0.5251383147527285,0.8109863501749723
medialorbitofrontal,R,0.5461861347035809,0.7397070682078535
middletemporal,L,0.4898170862067035,0.8007542421957625
middletemporal,R,0.4990787292711366,0.7453819670071247
paracentral,L,0.6846225494040589,0.8100600144672999
paracentral,R,0.6698783882350078,0.7470767679809873
parahippocampal,L,0.5592931181927338,0.7369356825629554
parahippocampal,R,0.5350179506325914,0.6947306315397254
parsopercularis,L,0.6536986277385247,0.859361760021138
parsopercularis,R,0.6568777188429,0.7626274489983061
parsorbitalis,L,0.5339552226724802,0.8397492678293824
parsorbitalis,R,0.5515413609026779,0.7794939779754593
parstriangularis,L,0.6172553075683345,0.8445683336021604
parstriangularis,R,0.6020318843685372,0.7564821675752829
pericalcarine,L,0.39338730750650913,0.8345845779514054
pericalcarine,R,0.42010640178863745,0.7310377764277068
postcentral,L,0.554359870594659,0.8150919744371907
postcentral,R,0.5498763031899288,0.7509176541976257
posteriorcingulate,L,0.6369952244202582,0.8253674303473192
posteriorcingulate,R,0.606160265429391,0.7396702714817831
precentral,L,0.6789643949606164,0.8029316360575552
precentral,R,0.693448547420094,0.7272153455461512
precuneus,L,0.5074183662288537,0.8414333815672421
precuneus,R,0.5013785375829578,0.7825497591316668
rostralanteriorcingulate,L,0.6151348017210869,0.7799052702975908
rostralanteriorcingulate,R,0.708824773798961,0.7449370000710462
rostralmiddlefrontal,L,0.5322404272485561,0.838449771699365
rostralmiddlefrontal,R,0.5543897953309643,0.7518434326057147
superiorfrontal,L,0.63549126303679,0.815059307728844
superiorfrontal,R,0.6044481305662481,0.7368786809260639
superiorparietal,L,0.5164808180561962,0.8233812126120963
superiorparietal,R,0.5068918910221083,0.7644556800673779
superiortemporal,L,0.49819454429892357,0.7940190383611841
superiortemporal,R,0.5164514669435761,0.7345838100626558
supramarginal,L,0.49833530613343796,0.8237665686880608
supramarginal,R,0.5151102385066177,0.7891901997724566
temporalpole,L,0.4637928132206477,0.7141735041701096
temporalpole,R,,
transversetemporal,L,0.5049530213247698,0.7983242686996808
transversetemporal,R,0.4825361111851019,0.7179344319314033
