Category,Description,Region_Index,Value,Brain_Region,ggseg,Hemisphere,Base_Region
Microstructure,Cortical thickness,0,2.7219377,ctx-lh-bankssts,ctx-lh-bankssts,Left,bankssts
Microstructure,Cortical thickness,1,2.1520934,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalanteriorcingulate,Left,caudalanteriorcingulate
Microstructure,Cortical thickness,2,2.7215285,ctx-lh-caudalmiddlefrontal,ctx-lh-caudalmiddlefrontal,Left,caudalmiddlefrontal
Microstructure,Cortical thickness,3,2.0792851,ctx-lh-cuneus,ctx-lh-cuneus,Left,cuneus
Microstructure,Cortical thickness,4,3.2658489,ctx-lh-entorhinal,ctx-lh-entorhinal,Left,entorhinal
Microstructure,Cortical thickness,5,2.8774056,ctx-lh-fusiform,ctx-lh-fusiform,Left,fusiform
Microstructure,Cortical thickness,6,2.5552976,ctx-lh-inferiorparietal,ctx-lh-inferiorparietal,Left,inferiorparietal
Microstructure,Cortical thickness,7,2.9222364,ctx-lh-inferiortemporal,ctx-lh-inferiortemporal,Left,inferiortemporal
Microstructure,Cortical thickness,8,2.2017713,ctx-lh-isthmuscingulate,ctx-lh-isthmuscingulate,Left,isthmuscingulate
Microstructure,Cortical thickness,9,2.2860248,ctx-lh-lateraloccipital,ctx-lh-lateraloccipital,Left,lateraloccipital
Microstructure,Cortical thickness,10,2.8428686,ctx-lh-lateralorbitofrontal,ctx-lh-lateralorbitofrontal,Left,lateralorbitofrontal
Microstructure,Cortical thickness,11,2.1717427,ctx-lh-lingual,ctx-lh-lingual,Left,lingual
Microstructure,Cortical thickness,12,2.6217284,ctx-lh-medialorbitofrontal,ctx-lh-medialorbitofrontal,Left,medialorbitofrontal
Microstructure,Cortical thickness,13,2.919577,ctx-lh-middletemporal,ctx-lh-middletemporal,Left,middletemporal
Microstructure,Cortical thickness,14,2.6232715,ctx-lh-parahippocampal,ctx-lh-parahippocampal,Left,parahippocampal
Microstructure,Cortical thickness,15,2.5139897,ctx-lh-paracentral,ctx-lh-paracentral,Left,paracentral
Microstructure,Cortical thickness,16,2.7760575,ctx-lh-parsopercularis,ctx-lh-parsopercularis,Left,parsopercularis
Microstructure,Cortical thickness,17,2.7450562,ctx-lh-parsorbitalis,ctx-lh-parsorbitalis,Left,parsorbitalis
