Category,Description,Region_Index,Value,Brain_Region,ggseg,Hemisphere,Base_Region
Anatomical hierarchy,T1w vs. T2w MRI signal,0,1.3343114,ctx-lh-bankssts,ctx-lh-bankssts,Left,bankssts
Anatomical hierarchy,T1w vs. T2w MRI signal,1,0.8803021,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalanteriorcingulate,Left,caudalanteriorcingulate
Anatomical hierarchy,T1w vs. T2w MRI signal,2,1.2996441,ctx-lh-caudalmiddlefrontal,ctx-lh-caudalmiddlefrontal,Left,caudalmiddlefrontal
Anatomical hierarchy,T1w vs. T2w MRI signal,3,1.5174851,ctx-lh-cuneus,ctx-lh-cuneus,Left,cuneus
Anatomical hierarchy,T1w vs. T2w MRI signal,4,1.2126034,ctx-lh-entorhinal,ctx-lh-entorhinal,Left,entorhinal
Anatomical hierarchy,T1w vs. T2w MRI signal,5,1.2947378,ctx-lh-fusiform,ctx-lh-fusiform,Left,fusiform
Anatomical hierarchy,T1w vs. T2w MRI signal,6,1.3045585,ctx-lh-inferiorparietal,ctx-lh-inferiorparietal,Left,inferiorparietal
Anatomical hierarchy,T1w vs. T2w MRI signal,7,1.2153829,ctx-lh-inferiortemporal,ctx-lh-inferiortemporal,Left,inferiortemporal
Anatomical hierarchy,T1w vs. T2w MRI signal,8,1.2801211,ctx-lh-isthmuscingulate,ctx-lh-isthmuscingulate,Left,isthmuscingulate
Anatomical hierarchy,T1w vs. T2w MRI signal,9,1.4625878,ctx-lh-lateraloccipital,ctx-lh-lateraloccipital,Left,lateraloccipital
Anatomical hierarchy,T1w vs. T2w MRI signal,10,1.2337449,ctx-lh-lateralorbitofrontal,ctx-lh-lateralorbitofrontal,Left,lateralorbitofrontal
Anatomical hierarchy,T1w vs. T2w MRI signal,11,1.4778191,ctx-lh-lingual,ctx-lh-lingual,Left,lingual
Anatomical hierarchy,T1w vs. T2w MRI signal,12,1.1775243,ctx-lh-medialorbitofrontal,ctx-lh-medialorbitofrontal,Left,medialorbitofrontal
Anatomical hierarchy,T1w vs. T2w MRI signal,13,1.2374947,ctx-lh-middletemporal,ctx-lh-middletemporal,Left,middletemporal
Anatomical hierarchy,T1w vs. T2w MRI signal,14,1.3840258,ctx-lh-parahippocampal,ctx-lh-parahippocampal,Left,parahippocampal
Anatomical hierarchy,T1w vs. T2w MRI signal,15,1.4465384,ctx-lh-paracentral,ctx-lh-paracentral,Left,paracentral
Anatomical hierarchy,T1w vs. T2w MRI signal,16,1.2694468,ctx-lh-parsopercularis,ctx-lh-parsopercularis,Left,parsopercularis
Anatomical hierarchy,T1w vs. T2w MRI signal,17,1.2054155,ctx-lh-parsorbitalis,ctx-lh-parsorbitalis,Left,parsorbitalis
Anatomical hierarchy,T1w vs. T2w MRI signal,18,1.2854968,ctx-lh-parstriangularis,ctx-lh-parstriangularis,Left,parstriangularis
Anatomical hierarchy,T1w vs. T2w MRI signal,19,1.5597696,ctx-lh-pericalcarine,ctx-lh-pericalcarine,Left,pericalcarine
Anatomical hierarchy,T1w vs. T2w MRI signal,20,1.4379587,ctx-lh-postcentral,ctx-lh-postcentral,Left,postcentral
Anatomical hierarchy,T1w vs. T2w MRI signal,21,1.1301192,ctx-lh-posteriorcingulate,ctx-lh-posteriorcingulate,Left,posteriorcingulate
Anatomical hierarchy,T1w vs. T2w MRI signal,22,1.451662,ctx-lh-precentral,ctx-lh-precentral,Left,precentral
Anatomical hierarchy,T1w vs. T2w MRI signal,23,1.3286744,ctx-lh-precuneus,ctx-lh-precuneus,Left,precuneus
Anatomical hierarchy,T1w vs. T2w MRI signal,24,0.9453139,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralanteriorcingulate,Left,rostralanteriorcingulate
Anatomical hierarchy,T1w vs. T2w MRI signal,25,1.2286441,ctx-lh-rostralmiddlefrontal,ctx-lh-rostralmiddlefrontal,Left,rostralmiddlefrontal
Anatomical hierarchy,T1w vs. T2w MRI signal,26,1.2319328,ctx-lh-superiorfrontal,ctx-lh-superiorfrontal,Left,superiorfrontal
Anatomical hierarchy,T1w vs. T2w MRI signal,27,1.3593408,ctx-lh-superiorparietal,ctx-lh-superiorparietal,Left,superiorparietal
Anatomical hierarchy,T1w vs. T2w MRI signal,28,1.3086939,ctx-lh-superiortemporal,ctx-lh-superiortemporal,Left,superiortemporal
Anatomical hierarchy,T1w vs. T2w MRI signal,29,1.2821382,ctx-lh-supramarginal,ctx-lh-supramarginal,Left,supramarginal
Anatomical hierarchy,T1w vs. T2w MRI signal,30,1.176177,ctx-lh-frontalpole,ctx-lh-frontalpole,Left,frontalpole
Anatomical hierarchy,T1w vs. T2w MRI signal,31,1.0492852,ctx-lh-temporalpole,ctx-lh-temporalpole,Left,temporalpole
Anatomical hierarchy,T1w vs. T2w MRI signal,32,1.6581725,ctx-lh-transversetemporal,ctx-lh-transversetemporal,Left,transversetemporal
Anatomical hierarchy,T1w vs. T2w MRI signal,33,1.2346549,ctx-lh-insula,ctx-lh-insula,Left,insula
Anatomical hierarchy,T1w vs. T2w MRI signal,34,1.368784,ctx-rh-bankssts,ctx-rh-bankssts,Right,bankssts
Anatomical hierarchy,T1w vs. T2w MRI signal,35,0.9037046,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalanteriorcingulate,Right,caudalanteriorcingulate
Anatomical hierarchy,T1w vs. T2w MRI signal,36,1.2927758,ctx-rh-caudalmiddlefrontal,ctx-rh-caudalmiddlefrontal,Right,caudalmiddlefrontal
Anatomical hierarchy,T1w vs. T2w MRI signal,37,1.501551,ctx-rh-cuneus,ctx-rh-cuneus,Right,cuneus
Anatomical hierarchy,T1w vs. T2w MRI signal,38,1.2031273,ctx-rh-entorhinal,ctx-rh-entorhinal,Right,entorhinal
Anatomical hierarchy,T1w vs. T2w MRI signal,39,1.316446,ctx-rh-fusiform,ctx-rh-fusiform,Right,fusiform
Anatomical hierarchy,T1w vs. T2w MRI signal,40,1.3203824,ctx-rh-inferiorparietal,ctx-rh-inferiorparietal,Right,inferiorparietal
Anatomical hierarchy,T1w vs. T2w MRI signal,41,1.2161592,ctx-rh-inferiortemporal,ctx-rh-inferiortemporal,Right,inferiortemporal
Anatomical hierarchy,T1w vs. T2w MRI signal,42,1.3448998,ctx-rh-isthmuscingulate,ctx-rh-isthmuscingulate,Right,isthmuscingulate
Anatomical hierarchy,T1w vs. T2w MRI signal,43,1.4639807,ctx-rh-lateraloccipital,ctx-rh-lateraloccipital,Right,lateraloccipital
Anatomical hierarchy,T1w vs. T2w MRI signal,44,1.2459722,ctx-rh-lateralorbitofrontal,ctx-rh-lateralorbitofrontal,Right,lateralorbitofrontal
Anatomical hierarchy,T1w vs. T2w MRI signal,45,1.4957457,ctx-rh-lingual,ctx-rh-lingual,Right,lingual
Anatomical hierarchy,T1w vs. T2w MRI signal,46,1.1995435,ctx-rh-medialorbitofrontal,ctx-rh-medialorbitofrontal,Right,medialorbitofrontal
Anatomical hierarchy,T1w vs. T2w MRI signal,47,1.225523,ctx-rh-middletemporal,ctx-rh-middletemporal,Right,middletemporal
Anatomical hierarchy,T1w vs. T2w MRI signal,48,1.3777521,ctx-rh-parahippocampal,ctx-rh-parahippocampal,Right,parahippocampal
Anatomical hierarchy,T1w vs. T2w MRI signal,49,1.4408536,ctx-rh-paracentral,ctx-rh-paracentral,Right,paracentral
Anatomical hierarchy,T1w vs. T2w MRI signal,50,1.2645491,ctx-rh-parsopercularis,ctx-rh-parsopercularis,Right,parsopercularis
Anatomical hierarchy,T1w vs. T2w MRI signal,51,1.2062858,ctx-rh-parsorbitalis,ctx-rh-parsorbitalis,Right,parsorbitalis
Anatomical hierarchy,T1w vs. T2w MRI signal,52,1.2722268,ctx-rh-parstriangularis,ctx-rh-parstriangularis,Right,parstriangularis
Anatomical hierarchy,T1w vs. T2w MRI signal,53,1.5663841,ctx-rh-pericalcarine,ctx-rh-pericalcarine,Right,pericalcarine
Anatomical hierarchy,T1w vs. T2w MRI signal,54,1.4226052,ctx-rh-postcentral,ctx-rh-postcentral,Right,postcentral
Anatomical hierarchy,T1w vs. T2w MRI signal,55,1.1384064,ctx-rh-posteriorcingulate,ctx-rh-posteriorcingulate,Right,posteriorcingulate
Anatomical hierarchy,T1w vs. T2w MRI signal,56,1.4486396,ctx-rh-precentral,ctx-rh-precentral,Right,precentral
Anatomical hierarchy,T1w vs. T2w MRI signal,57,1.337938,ctx-rh-precuneus,ctx-rh-precuneus,Right,precuneus
Anatomical hierarchy,T1w vs. T2w MRI signal,58,0.98931915,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralanteriorcingulate,Right,rostralanteriorcingulate
Anatomical hierarchy,T1w vs. T2w MRI signal,59,1.2242936,ctx-rh-rostralmiddlefrontal,ctx-rh-rostralmiddlefrontal,Right,rostralmiddlefrontal
Anatomical hierarchy,T1w vs. T2w MRI signal,60,1.222559,ctx-rh-superiorfrontal,ctx-rh-superiorfrontal,Right,superiorfrontal
Anatomical hierarchy,T1w vs. T2w MRI signal,61,1.3640628,ctx-rh-superiorparietal,ctx-rh-superiorparietal,Right,superiorparietal
Anatomical hierarchy,T1w vs. T2w MRI signal,62,1.2885617,ctx-rh-superiortemporal,ctx-rh-superiortemporal,Right,superiortemporal
Anatomical hierarchy,T1w vs. T2w MRI signal,63,1.3007833,ctx-rh-supramarginal,ctx-rh-supramarginal,Right,supramarginal
Anatomical hierarchy,T1w vs. T2w MRI signal,64,1.2076579,ctx-rh-frontalpole,ctx-rh-frontalpole,Right,frontalpole
Anatomical hierarchy,T1w vs. T2w MRI signal,65,1.1073099,ctx-rh-temporalpole,ctx-rh-temporalpole,Right,temporalpole
Anatomical hierarchy,T1w vs. T2w MRI signal,66,1.6808957,ctx-rh-transversetemporal,ctx-rh-transversetemporal,Right,transversetemporal
Anatomical hierarchy,T1w vs. T2w MRI signal,67,1.2540352,ctx-rh-insula,ctx-rh-insula,Right,insula
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,0,-0.034646656,ctx-lh-bankssts,ctx-lh-bankssts,Left,bankssts
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,1,-1.4637336,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalanteriorcingulate,Left,caudalanteriorcingulate
